episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
619, -567.545175116363, 7.0, 1.0
136, -83.00151669373369, 2.0, 1.0
80, -71.57747639304841, 7.0, 1.0
126, -181.14627433067812, 20.0, 1.0
133, -220.18238835798422, 29.0, 1.0
105, -153.11962272963123, 18.0, 1.0
981, -911.2566081812136, 27.0, 1.0
330, -387.990253126841, 50.0, 1.0
129, -139.5738164155667, 9.0, 1.0
190, -122.51762498340264, 11.0, 1.0
106, -160.53450246995757, 18.0, 1.0
112, -175.44822801573744, 23.0, 1.0
194, -191.53261415383778, 19.0, 1.0
252, -289.34982826691385, 38.0, 1.0
65, -54.36001429374189, 6.0, 1.0
288, -323.77027513291483, 38.0, 1.0
1636, -1365.50664749516, 26.0, 1.0
38, -34.70357782262259, 2.0, 1.0
107, -54.4024291847678, 0.0, 1.0
69, -25.412413503275584, 1.0, 1.0
162, -114.27319416652625, 6.0, 1.0
214, -168.84845198079168, 13.0, 1.0
404, -362.09933459546085, 26.0, 1.0
171, -198.54211536477317, 24.0, 1.0
1576, -1364.491671705228, 18.0, 1.0
205, -159.60633398962557, 13.0, 1.0
125, -137.09278690159806, 17.0, 1.0
54, -61.7631892587268, 6.0, 1.0
324, -284.9354392294926, 23.0, 1.0
160, -110.13276403423029, 9.0, 1.0
72, -48.13614610823897, 0.0, 1.0
70, -150.43296014369545, 22.0, 1.0
155, -96.6822900743126, 7.0, 1.0
92, -95.43839051635042, 10.0, 1.0
55, -84.58014884763845, 10.0, 1.0
158, -120.02054633709042, 6.0, 1.0
223, -232.08219578480177, 5.0, 1.0
157, -245.3972535796527, 32.0, 1.0
215, -206.48605376776942, 23.0, 1.0
147, -162.37671918244314, 16.0, 1.0
35, -53.811869631038434, 6.0, 1.0
91, -47.67931944402932, 4.0, 1.0
108, -166.86117372952512, 18.0, 1.0
171, -209.25180256395973, 26.0, 1.0
39, -26.491092376959937, 0.0, 1.0
70, -36.84416504211447, 2.0, 1.0
101, -71.3031848789824, 8.0, 1.0
121, -76.55400384252111, 5.0, 1.0
92, -141.38133177128165, 18.0, 1.0
1712, -1578.6336054028366, 24.0, 1.0
12, -2.6104927685144412, 0.0, 1.0
81, -96.63671343981792, 10.0, 1.0
136, -202.31512728271116, 26.0, 1.0
127, -59.60576658403092, 1.0, 1.0
116, -170.11446993761558, 21.0, 1.0
95, -77.3012711569997, 8.0, 1.0
205, -269.5542013227344, 33.0, 1.0
83, -102.56776581198473, 11.0, 1.0
146, -168.3030654529108, 14.0, 1.0
35, -50.76200023818462, 6.0, 1.0
54, -68.81998523747417, 7.0, 1.0
60, -46.26460713460838, 3.0, 1.0
156, -198.9300019100218, 27.0, 1.0
40, -59.028596361193664, 6.0, 1.0
195, -268.7887961464001, 33.0, 1.0
115, -108.90042084798846, 9.0, 1.0
14, -15.02214166480924, 2.0, 1.0
184, -175.70977849393432, 20.0, 1.0
208, -315.17476945779646, 31.0, 1.0
963, -1048.4696862667045, 37.0, 1.0
126, -241.18428007432274, 36.0, 1.0
41, -67.58138054787821, 9.0, 1.0
169, -229.6045792775665, 30.0, 1.0
108, -58.8269183281786, 0.0, 1.0
92, -42.935752055008926, 2.0, 1.0
688, -647.578018282514, 24.0, 1.0
21, -16.132930749688235, 2.0, 1.0
49, -84.54159649795605, 11.0, 1.0
102, -177.32831663779677, 22.0, 1.0
79, -74.27130972918114, 7.0, 1.0
54, -29.801943405517054, 0.0, 1.0
186, -168.99962573339772, 19.0, 1.0
244, -197.21140986090273, 18.0, 1.0
159, -188.32777209963422, 23.0, 1.0
50, -138.400694111946, 15.0, 1.0
35, -63.41123726272076, 8.0, 1.0
45, -24.316330041108344, 0.0, 1.0
198, -275.4772318048282, 36.0, 1.0
78, -59.97604330473252, 2.0, 1.0
41, -91.98470964764348, 10.0, 1.0
80, -230.7115398390602, 34.0, 1.0
46, -50.715925495129, 5.0, 1.0
88, -79.7315025888461, 8.0, 1.0
142, -131.5312221089943, 15.0, 1.0
127, -74.0567540895986, 4.0, 1.0
15, -7.081654475059834, 0.0, 1.0
61, -67.39315493540073, 7.0, 1.0
38, -60.85397282709861, 4.0, 1.0
58, -110.8595706754512, 16.0, 1.0
601, -615.5315357000442, 7.0, 1.0
31, -51.68614425410486, 5.0, 1.0
55, -69.01111302938031, 7.0, 1.0
106, -126.29696638725143, 11.0, 1.0
143, -130.67589301616098, 16.0, 1.0
108, -136.71756126228792, 15.0, 1.0
122, -139.48847999795606, 14.0, 1.0
40, -38.49723565314545, 1.0, 1.0
90, -47.928845712110544, 5.0, 1.0
28, -26.654509509209156, 2.0, 1.0
126, -148.387001334506, 20.0, 1.0
37, -42.15027273690556, 2.0, 1.0
117, -66.6837371426081, 4.0, 1.0
65, -38.08594663363742, 2.0, 1.0
47, -36.16624050782116, 1.0, 1.0
143, -247.34664869168034, 32.0, 1.0
86, -154.05865770157232, 20.0, 1.0
97, -111.08473568928889, 13.0, 1.0
62, -122.5471628921671, 15.0, 1.0
91, -97.20624938936632, 11.0, 1.0
114, -115.53736610696984, 13.0, 1.0
133, -90.30580191828965, 6.0, 1.0
71, -139.07662897051782, 17.0, 1.0
50, -63.02300648170533, 6.0, 1.0
47, -66.20912755160198, 8.0, 1.0
38, -51.46643403025873, 5.0, 1.0
41, -25.81910603304936, 2.0, 1.0
90, -72.01130200066225, 6.0, 1.0
79, -148.57753003302722, 19.0, 1.0
96, -155.59702045665304, 18.0, 1.0
51, -57.890794904102165, 0.0, 1.0
49, -117.91487059871017, 18.0, 1.0
37, -32.03584857681551, 2.0, 1.0
133, -100.53658266410744, 8.0, 1.0
127, -81.33408853554987, 2.0, 1.0
79, -60.697031427774405, 6.0, 1.0
92, -106.35868858553498, 13.0, 1.0
69, -52.747001329479545, 3.0, 1.0
39, -61.528850671158, 8.0, 1.0
102, -98.30765800480486, 11.0, 1.0
83, -143.0440684819473, 19.0, 1.0
349, -408.00501417048304, 13.0, 1.0
85, -146.9235681881457, 15.0, 1.0
446, -436.0106580057113, 14.0, 1.0
63, -92.75900917491086, 13.0, 1.0
59, -33.15967565959702, 0.0, 1.0
61, -121.30418751666406, 17.0, 1.0
139, -210.47794212057465, 21.0, 1.0
53, -68.5753037418762, 7.0, 1.0
190, -106.50561105073193, 9.0, 1.0
77, -59.627910628410625, 6.0, 1.0
93, -182.22001104060269, 23.0, 1.0
