episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
217, -165.65731077148746, 13.0, 1.0
114, -193.42565378184776, 12.0, 1.0
200, -170.60989734070563, 13.0, 1.0
319, -277.07965084432914, 24.0, 1.0
87, -67.45777285057095, 4.0, 1.0
185, -149.98054385681962, 12.0, 1.0
135, -162.3016857150722, 21.0, 1.0
187, -224.58402556591764, 29.0, 1.0
343, -403.501393541051, 49.0, 1.0
226, -293.9327385650776, 30.0, 1.0
138, -230.59958984742795, 28.0, 1.0
161, -176.86410268092396, 20.0, 1.0
9, -14.05910304119158, 2.0, 1.0
221, -150.12027630954216, 12.0, 1.0
249, -360.97171305882625, 48.0, 1.0
165, -186.66456381205225, 15.0, 1.0
126, -89.68435856834003, 2.0, 1.0
179, -187.95076160808085, 21.0, 1.0
256, -396.25035428364737, 44.0, 1.0
62, -105.58176139749524, 15.0, 1.0
117, -150.6732671338414, 19.0, 1.0
194, -238.65386343040774, 26.0, 1.0
82, -132.1124202367366, 16.0, 1.0
138, -134.2356731400417, 10.0, 1.0
227, -190.08107839389478, 16.0, 1.0
83, -114.54517089342451, 14.0, 1.0
215, -169.29706442326926, 16.0, 1.0
205, -123.61129338438712, 2.0, 1.0
273, -297.99115475186125, 35.0, 1.0
80, -58.625849176021774, 5.0, 1.0
42, -30.470326648212964, 0.0, 1.0
127, -62.46307984168469, 1.0, 1.0
77, -115.3854538514334, 14.0, 1.0
31, -31.81008463642965, 2.0, 1.0
192, -178.65749681449157, 18.0, 1.0
332, -597.3560112707758, 49.0, 1.0
72, -56.47427944694954, 3.0, 1.0
68, -159.4958928025245, 21.0, 1.0
203, -266.64342275059016, 33.0, 1.0
36, -48.51854262029142, 2.0, 1.0
88, -93.99922842782678, 6.0, 1.0
184, -248.16740251673414, 27.0, 1.0
158, -160.65544675340723, 15.0, 1.0
96, -59.78249004568376, 1.0, 1.0
100, -147.51288821468177, 16.0, 1.0
119, -103.15273611577214, 10.0, 1.0
148, -209.2721838870976, 26.0, 1.0
113, -119.16671062085938, 15.0, 1.0
93, -115.44522879948222, 15.0, 1.0
83, -136.87307028119014, 17.0, 1.0
83, -105.44989884380418, 14.0, 1.0
44, -44.337035058173534, 5.0, 1.0
137, -225.974902903009, 31.0, 1.0
150, -104.09583906884446, 4.0, 1.0
55, -17.286675477833576, 0.0, 1.0
85, -62.64506731824938, 7.0, 1.0
64, -78.53542991940925, 7.0, 1.0
64, -36.07548527306532, 1.0, 1.0
88, -73.11296848310525, 5.0, 1.0
32, -70.18509828229638, 10.0, 1.0
238, -266.5361286152957, 27.0, 1.0
229, -243.5462566458097, 22.0, 1.0
46, -65.74944443058364, 9.0, 1.0
166, -74.33647502249619, 4.0, 1.0
75, -97.84566646583494, 12.0, 1.0
91, -145.3460880513697, 18.0, 1.0
73, -54.646701960926386, 6.0, 1.0
210, -294.5363665283469, 39.0, 1.0
111, -106.84135486960238, 3.0, 1.0
236, -366.17732163517604, 25.0, 1.0
132, -199.69281500619738, 29.0, 1.0
193, -160.32771322842552, 20.0, 1.0
13, -14.590371043274002, 2.0, 1.0
6, -29.861309015495383, 5.0, 1.0
146, -225.16065323448424, 28.0, 1.0
80, -88.86394298733502, 9.0, 1.0
83, -138.10960149554649, 19.0, 1.0
38, -57.078442055377636, 6.0, 1.0
44, -39.07632705452539, 5.0, 1.0
92, -90.5552572234914, 11.0, 1.0
144, -202.84371598186598, 22.0, 1.0
112, -115.81228633201793, 11.0, 1.0
32, -48.83269466651579, 6.0, 1.0
89, -98.66235859167752, 13.0, 1.0
29, -25.544229926280103, 1.0, 1.0
90, -110.9627940984427, 14.0, 1.0
78, -108.44706871132561, 9.0, 1.0
59, -82.5244601097416, 11.0, 1.0
250, -448.427673848994, 40.0, 1.0
74, -80.83281039867957, 8.0, 1.0
175, -199.4172302186136, 25.0, 1.0
72, -82.86236799127059, 9.0, 1.0
187, -188.0013515159291, 13.0, 1.0
132, -179.6574828576477, 21.0, 1.0
78, -47.13693007553272, 0.0, 1.0
115, -92.44063587456336, 10.0, 1.0
120, -152.716670797751, 15.0, 1.0
81, -111.29960183928334, 13.0, 1.0
56, -122.75169908529315, 19.0, 1.0
52, -65.65212138418795, 5.0, 1.0
132, -140.8526806397245, 16.0, 1.0
41, -63.63610401406378, 8.0, 1.0
156, -110.43924404080538, 7.0, 1.0
74, -57.689096261060556, 5.0, 1.0
316, -807.2779678131582, 89.0, 1.0
114, -159.77024882610888, 19.0, 1.0
126, -96.4808289509916, 9.0, 1.0
98, -69.51822701492384, 5.0, 1.0
369, -453.57446532435023, 47.0, 1.0
348, -333.50166780050205, 38.0, 1.0
156, -221.01527134935597, 26.0, 1.0
133, -241.30851050935445, 32.0, 1.0
87, -33.307305063731825, 1.0, 1.0
49, -30.485477879673528, 1.0, 1.0
110, -129.9728251368762, 14.0, 1.0
249, -475.43536847799476, 69.0, 1.0
38, -50.4166214736879, 4.0, 1.0
50, -44.04546041785137, 3.0, 1.0
82, -86.84959063276264, 9.0, 1.0
282, -747.9752524363233, 82.0, 1.0
45, -57.712017666651604, 6.0, 1.0
91, -109.38097312950767, 8.0, 1.0
61, -76.31012861332466, 8.0, 1.0
140, -82.62262998710074, 7.0, 1.0
88, -78.32011316384107, 8.0, 1.0
243, -164.0748548637605, 13.0, 1.0
107, -112.87410883287188, 2.0, 1.0
27, -32.60988770190555, 3.0, 1.0
134, -116.69722176411025, 11.0, 1.0
34, -54.98995004053172, 4.0, 1.0
48, -65.73208430601534, 9.0, 1.0
69, -53.935334185813005, 5.0, 1.0
71, -52.80857870715355, 3.0, 1.0
114, -87.4691413673189, 5.0, 1.0
39, -103.81803113284765, 13.0, 1.0
57, -13.683145543275293, 0.0, 1.0
52, -103.74612187525764, 15.0, 1.0
77, -93.84094692006398, 12.0, 1.0
80, -139.483872416439, 14.0, 1.0
98, -63.80039582695619, 8.0, 1.0
79, -153.71918158641336, 21.0, 1.0
53, -67.10286556697578, 0.0, 1.0
65, -38.050093351265694, 3.0, 1.0
93, -198.90570602410222, 28.0, 1.0
160, -111.09925427815269, 11.0, 1.0
50, -77.43735164218579, 8.0, 1.0
71, -129.13551583510542, 15.0, 1.0
78, -105.06864193500198, 13.0, 1.0
55, -61.390859094370384, 7.0, 1.0
151, -230.2580408411334, 14.0, 1.0
76, -75.26123366463203, 7.0, 1.0
68, -115.34649537066063, 16.0, 1.0
126, -110.86058224364652, 10.0, 1.0
211, -137.424536058252, 14.0, 1.0
67, -83.31592358189194, 5.0, 1.0
73, -40.888318542854336, 3.0, 1.0
49, -68.16004474041999, 6.0, 1.0
239, -689.1418284390717, 84.0, 1.0
124, -89.81417690771349, 10.0, 1.0
75, -106.3081770798571, 7.0, 1.0
32, -68.03315013031136, 9.0, 1.0
21, -3.7343211454996945, 0.0, 1.0
78, -70.48908634012503, 8.0, 1.0
100, -123.61717382132038, 15.0, 1.0
59, -52.15866899006781, 6.0, 1.0
38, -67.26759641088614, 9.0, 1.0
148, -158.7342163792221, 20.0, 1.0
100, -183.2427903301613, 27.0, 1.0
86, -59.019576731990554, 6.0, 1.0
101, -54.74105225127973, 4.0, 1.0
79, -95.76885755089516, 11.0, 1.0
218, -221.71328535718445, 25.0, 1.0
143, -262.38575180320714, 24.0, 1.0
53, -42.56422843355168, 5.0, 1.0
78, -69.62722828146553, 8.0, 1.0
100, -118.64185986869637, 13.0, 1.0
111, -168.02141419295333, 19.0, 1.0
45, -60.003179200579254, 6.0, 1.0
74, -60.6117631006857, 5.0, 1.0
81, -126.86529310580158, 18.0, 1.0
61, -52.24252734126342, 5.0, 1.0
49, -56.32763866026425, 5.0, 1.0
130, -232.13029617359217, 33.0, 1.0
71, -67.11154719737955, 6.0, 1.0
60, -72.14105443439355, 9.0, 1.0
70, -54.794305508513084, 4.0, 1.0
116, -155.53513299572234, 11.0, 1.0
98, -82.90195671448458, 8.0, 1.0
